"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","home","youxuantuijian","0","1","0","0","0"
"","user","get_coupon","0","0","1","0","0"
"","home","famous_list","0","1","0","0","0"
"","user","vip_info","0","1","0","0","0"
"","","api","0","0","1","0","0"
"","magicnana","get_alias_by_app_key","0","0","1","0","0"
"","user","vip_goods_of_yueka","0","0","1","0","0"
"","user","first_in","0","1","0","0","0"
"","home","meirijingxuan","0","1","0","0","0"
"","pay","acquire","0","0","1","0","0"
"","home","edugao","0","1","0","0","0"
